room_id,host_id,total_score
10051623,30283594,3.0
2715779,178829,3.0
12147973,31303940,3.0
11972989,9258077,3.0
8201104,43217109,3.0
12627941,66952442,3.0
6798777,499127,3.0
13033074,23085777,3.0
10704442,55310299,3.0
6713148,13622079,3.0
496026,1956464,3.0
9636218,48691372,3.0
6939759,26413047,3.0
9463444,48936696,3.0
12221012,28167413,3.0
11541697,26257564,3.0
12445143,4852286,3.0
11968275,17765198,3.0
12072006,9593553,3.0
10050765,30283594,3.0
11218256,54064917,3.0
12515067,3073029,3.0
12652181,12790789,3.0
9546728,20127625,3.0
7273770,4191762,3.0
13089490,20415645,3.0
11371205,21184200,3.0
7460789,33216931,3.0
11295065,33049221,3.0
12957423,1723274,3.0
10053549,30283594,3.0
10053454,30283594,3.0
10409490,17320199,3.0
5781926,29573894,3.0
8141545,30283594,3.0
12784064,3137257,3.0
10724635,55426664,3.0
12407753,66721032,3.0
13005579,71536024,3.0
12815192,17045533,3.0
7474044,22348222,3.0
12972323,10396155,3.0
7450348,39019557,3.0
12962923,20857768,3.0
7837202,22348222,3.0
9261381,47670141,3.0
12902509,10669839,3.0
10052622,30283594,3.0
13014498,22110106,3.0
13078068,46488030,3.0
12990961,21702778,3.0
13015832,18202088,3.0
2798599,14099596,3.0
8325030,30283594,3.0
901914,4818556,3.0
9941923,51094247,3.0
12655866,44795554,3.0
10987109,32304279,3.0
8631257,14299534,3.0
13060835,72340877,3.0
12208806,31035017,3.0
11735784,9419684,3.0
12303347,30283594,3.0
12932465,17351265,3.0
12205580,65394478,3.0
12356183,30283594,3.0
12726343,58930331,3.0
12493396,29568033,3.0
7351514,18292698,3.0
12988807,71551723,3.0
8904546,46575567,3.0
12873559,2051523,3.0
12868343,2753598,3.0
13024385,12243051,3.0
10052920,30283594,3.0
7832890,22348222,3.0
10549219,54404109,3.0
11569331,2225350,3.0
10857914,45651169,3.0
9822600,826833,3.0
9878725,17892292,3.0
11678470,48518596,3.0
11419461,29713098,3.0
8564330,25064382,3.0
12363660,56359408,3.0
10788492,14005209,3.0
13093907,32095988,3.0
12124586,48062212,3.0
13056513,6210771,3.0
12148811,24036388,3.0
8275452,9744348,3.0
12648403,1846434,3.0
13060113,62461042,3.0
9864083,50766866,3.0
12365159,2788083,3.0
7918398,17835189,3.0
13045194,19455327,3.0
6991310,36495581,3.0
10859498,51673899,3.0
10945558,51673899,3.0
11890669,54723812,3.0
7240149,35950087,3.0
12290477,3713069,3.0
9993826,30283594,3.0
9991857,30283594,3.0
10882267,41998307,3.0
12626504,6723877,3.0
6268395,30283594,3.0
8925974,20079643,3.0
8955473,20079643,3.0
5904596,24496999,3.0
12263690,30283594,3.0
601763,71783,3.0
9903,25188,3.0
5911004,6591423,3.0
9669300,18756452,3.0
12020004,42018686,3.0
444367,1451874,3.0
8325366,30283594,3.0
10880916,30283594,3.0
7219056,9419684,3.0
9041513,9419684,3.0
12997241,12164071,3.0
11985521,30283594,3.0
716512,25188,3.0
8335652,30283594,3.0
12672097,46846483,3.0
12359181,36496544,3.0
9532771,49365462,3.0
13007124,68072593,3.0
2993107,1546670,3.0
12383703,30283594,3.0
822063,4142522,3.0
12376963,33225313,3.0
13047172,72203021,3.0
11968079,30283594,3.0
11963384,30283594,3.0
10117122,30283594,3.0
12802213,69757322,3.0
9992143,30283594,3.0
10116914,30283594,3.0
9934771,15035971,3.0
12383204,30283594,3.0
10117472,30283594,3.0
6480967,33865671,3.0
11983535,30283594,3.0
8828147,3958442,3.0
12545716,64969164,3.0
3401809,25188,3.0
11982313,30283594,3.0
7159343,28980127,3.0
12028924,5635152,3.0
8404805,26956083,3.0
10229333,30283594,3.0
951473,25188,3.0
10185866,52311253,3.0
7529525,39459066,3.0
4652263,24075349,3.0
7618925,11228809,3.0
9969226,274767,3.0
2736979,14004174,3.0
169938,809859,3.0
1961034,10133129,3.0
12667158,66050182,3.0
12781774,39290576,3.0
12932001,9155267,3.0
10835494,8207666,3.0
6865619,35975768,3.0
12085299,8654826,3.0
12833084,32626502,3.0
5967936,30979867,3.0
12852617,52260121,3.0
5738018,7302835,3.0
9494064,49207830,3.0
12988556,19573145,3.0
12989366,19573145,3.0
13056531,72295255,3.0
12190053,4913318,3.0
6921672,36278389,3.0
1628130,333220,3.0
10749312,55571157,3.0
903598,25188,3.0
12580274,41542719,3.0
12364368,40297419,3.0
10211649,52470335,3.0
12409208,1779593,3.0
8081935,30283594,3.0
951485,25188,3.0
10228764,30283594,3.0
9403571,19055705,3.0
7637094,40067818,3.0
8184007,30283594,3.0
8085906,30283594,3.0
12247217,30283594,3.0
8099266,30283594,3.0
12873438,14004174,3.0
11569156,60500914,3.0
11006149,57112558,3.0
10226171,18290025,3.0
11688611,12243051,3.0
12559899,34191455,3.0
11022736,40649306,3.0
10249647,21275421,3.0
543188,25188,3.0
7857318,30283594,3.0
6386351,33289576,3.0
12368012,66824316,3.0
12248521,48876489,3.0
12618291,68502098,3.0
12301081,30283594,3.0
5259996,71783,3.0
665035,25188,3.0
9921925,30283594,3.0
11060140,51673899,3.0
8432166,19834500,3.0
12882483,2269848,3.0
12126299,115522,3.0
9990201,30283594,3.0
11739746,51441309,3.0
9040476,9419684,3.0
11677211,47928161,3.0
2837932,14517564,3.0
8145397,30283594,3.0
7329849,21799545,3.0
